"","N1","N2","correl","cooc","int","euc","euctrim","coocpos","coocneg","intpos","intneg","euctrimpos","euctrimneg","shrd_rsc_pos","shrd_rsc_neg","repl","d"
"641","S4","S7",-0.172974262271783,0,0.206617402731559,0.874410730876403,0.874410730876403,0,0,0,1,0,1,0,0,1,"HabSubsmpl_25"
"651","S5","S7",-0.1590745447678,0,0.358600761416127,0.653576613787556,0,0,0,0,1,0,0,0,0,1,"HabSubsmpl_25"
"661","S6","S7",-0.139769381567825,0,0,0.759185879865759,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"711","S1","S8",0.484615384615385,0,0,0.250231583510713,0.250231583510713,0,0,0,0,1,0,0,0,1,"HabSubsmpl_25"
"721","S2","S8",0,0,0.188891387655423,0.507800387603188,0,0,0,0,1,0,0,0,0,1,"HabSubsmpl_25"
"731","S3","S8",0.113417474725904,0,0.481008685695968,0.280473487629745,0,0,0,0,1,0,0,0,0,1,"HabSubsmpl_25"
"741","S4","S8",0.86,0.86,0,0.180321266463937,0.180321266463937,1,0,0,0,1,0,1,0,1,"HabSubsmpl_25"
"751","S5","S8",0.949230769230769,0.949230769230769,0.152820772060176,0.333374000166127,0,1,0,0,1,0,0,1,0,1,"HabSubsmpl_25"
"761","S6","S8",0.433846153846154,0,0,0.550004608000181,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"771","S7","S8",0.0617765222399224,0,0,0.694090079664563,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"811","S1","S9",0.19,0,0.108392327932671,0.478107367200794,0,0,0,0,1,0,0,0,0,1,"HabSubsmpl_25"
"821","S2","S9",0,0,0.289609264288578,0.675348511467207,0,0,0,0,1,0,0,0,0,1,"HabSubsmpl_25"
"831","S3","S9",0.405624996415558,0,-0.246720164085692,0.13844771708236,0.13844771708236,0,0,1,0,1,0,0,0,1,"HabSubsmpl_25"
"841","S4","S9",0.902307692307692,0.902307692307692,0,0.354830234336934,0,1,0,0,0,0,0,1,0,1,"HabSubsmpl_25"
"851","S5","S9",0.853076923076923,0.853076923076923,-0.373916363911069,0.541852645864165,0,1,0,1,0,0,0,1,0,1,"HabSubsmpl_25"
"861","S6","S9",0.13,0,0,0.761373054230536,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"871","S7","S9",0.172974262271783,0,0,0.646671097874709,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"881","S8","S9",0.925384615384615,0.925384615384615,-0.445000925506851,0.246630035877819,0.246630035877819,1,0,1,0,1,0,1,0,1,"HabSubsmpl_25"
"911","S1","S10",0.792307692307692,0.792307692307692,0,0.512376462139106,0,1,0,0,0,0,0,1,0,1,"HabSubsmpl_25"
"921","S2","S10",0,0,0.341958433342155,0.173122512823615,0.173122512823615,0,0,0,1,1,0,0,0,1,"HabSubsmpl_25"
"931","S3","S10",-0.52849392736862,0,0,0.820656252949019,0,0,0,0,0,0,0,0,1,1,"HabSubsmpl_25"
"941","S4","S10",0.221538461538462,0,0,0.618518466900159,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"951","S5","S10",0.644615384615385,0,0,0.211143908765903,0.211143908765903,0,0,0,0,1,0,0,0,1,"HabSubsmpl_25"
"961","S6","S10",0.904615384615385,0.904615384615385,0.365408085498187,0.0124044552900024,0.0124044552900024,1,0,0,1,1,0,1,0,1,"HabSubsmpl_25"
"971","S7","S10",-0.0694985875199127,0,0,0.74700746702163,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"981","S8","S10",0.582307692307692,0,0,0.542239917086874,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"991","S9","S10",0.316923076923077,0,0.116303385157259,0.751838923218899,0,0,0,0,1,0,0,0,0,1,"HabSubsmpl_25"
